index,Date,Exchange,Company Name,Number of Shares,Price,Status,Symbol,Total Shares Value
2,2005-01-28,New York Stock Exchange,W&T OFFSHORE INC,12655263.0,19.00,priced,WTI,240449997.0
3,2005-01-28,Nasdaq National Market,DFC GLOBAL CORP.,7500000.0,16.00,priced,DLLR,120000000.0
4,2005-01-28,Nasdaq National Market,NATIONAL INTERSTATE CORP,3847000.0,13.50,priced,NATL,51934500.0
5,2005-01-27,Nasdaq National Market,"OPTIONSXPRESS HOLDINGS, INC.",12000000.0,16.50,priced,OXPS,198000000.0
7,2005-01-26,New York Stock Exchange,"EDUCATION REALTY TRUST, INC.",19000000.0,16.00,priced,EDR,304000000.0
8,2005-01-26,Nasdaq National Market,GFI GROUP INC.,5857224.0,21.00,priced,GFIG,123001704.0
9,2005-01-21,Nasdaq National Market,VIACELL INC,7500000.0,7.00,priced,VIAC,52500000.0
10,2005-01-21,New York Stock Exchange,CELANESE CORP,50000000.0,16.00,priced,CE,800000000.0
11,2005-01-21,Nasdaq National Market,"SEABRIGHT HOLDINGS, INC.",7500000.0,10.50,priced,SEAB,78750000.0
12,2005-01-19,OTCBB,"CECORS, INC.",2000000.0,0.05,priced,FDRA,100000.0
17,2005-01-03,New York Stock Exchange,COUSINS PROPERTIES INC,4000000.0,25.00,priced,CUZ.B,100000000.0
20,2005-02-25,OTCBB,"AVANTAIR, INC",6000000.0,6.00,priced,AACQU,36000000.0
21,2005-02-24,Nasdaq National Market,KEARNY FINANCIAL CORP.,21821250.0,10.00,priced,KRNY,218212500.0
22,2005-02-18,OTCBB,ALDABRA ACQUISITION CORP,8000000.0,6.00,priced,ALBAU,48000000.0
23,2005-02-17,New York Stock Exchange,"DOLBY LABORATORIES, INC.",27500000.0,18.00,priced,DLB,495000000.0
24,2005-02-16,New York Stock Exchange,WEX INC.,40000000.0,18.00,priced,WXS,720000000.0
25,2005-02-16,OTCBB,COASTAL BANCSHARES ACQUISITION CORP.,4800000.0,6.00,priced,CBASU,28800000.0
27,2005-02-15,New York Stock Exchange,"ALPHA NATURAL RESOURCES, INC./OLD",29500000.0,19.00,priced,ANR,560500000.0
28,2005-02-15,American Stock Exchange,"FUSION CONNECT, INC.",3600000.0,6.45,priced,FSN,23220000.0
29,2005-02-15,American Stock Exchange,"MANITEX INTERNATIONAL, INC.",2500000.0,6.00,priced,VCC,15000000.0
30,2005-02-15,New York Stock Exchange,ECC CAPITAL CORP,57189693.0,6.75,priced,ECR,386030428.0
31,2005-02-15,Nasdaq National Market,ODIMO INC,3125000.0,9.00,priced,ODMO,28125000.0
32,2005-02-14,OTCBB,"VIVID LEARNING SYSTEMS, INC.",1997996.0,0.25,priced,VVDL,499499.0
35,2005-02-11,Nasdaq National Market,"UNIVERSAL LOGISTICS HOLDINGS, INC.",5300000.0,20.00,priced,UACL,106000000.0
36,2005-02-11,New York Stock Exchange,HUNTSMAN CORP,60227274.0,23.00,priced,HUN,1385227302.0
38,2005-02-10,New York Stock Exchange,PRESTIGE CONSUMER HEALTHCARE INC.,28000000.0,16.00,priced,PBH,448000000.0
39,2005-02-10,New York Stock Exchange,SYNIVERSE HOLDINGS INC,17620000.0,16.00,priced,SVR,281920000.0
40,2005-02-10,Nasdaq National Market,"HILAND PARTNERS HOLDINGS, LLC",2000000.0,22.50,priced,HLND,45000000.0
42,2005-02-09,New York Stock Exchange,"WINDSTREAM HOLDINGS, INC.",29375000.0,15.00,priced,VCG,440625000.0
43,2005-02-09,Nasdaq National Market,EMAGEON INC,5000000.0,13.00,priced,EMAG,65000000.0
44,2005-02-09,New York Stock Exchange,"FTD GROUP, INC.",15407693.0,13.00,priced,FTD,200300009.0
45,2005-02-09,Nasdaq SmallCap Market,TRI-S SECURITY CORP,1800000.0,6.00,priced,TRISU,10800000.0
46,2005-02-08,Nasdaq National Market,"GRAVITY CO., LTD.",8000000.0,13.50,priced,GRVY,108000000.0
48,2005-02-04,Nasdaq National Market,"MOLECULAR TEMPLATES, INC.",5333333.0,7.00,priced,THLD,37333331.0
49,2005-02-04,Nasdaq National Market,"KU6 MEDIA CO., LTD",6880000.0,10.25,priced,HRAY,70520000.0
50,2005-02-04,New York Stock Exchange,FAIRPOINT COMMUNICATIONS INC,25000000.0,18.50,priced,FRP,462500000.0
51,2005-02-04,New York Stock Exchange,"ARC DOCUMENT SOLUTIONS, INC.",13350000.0,13.00,priced,ARP,173550000.0
52,2005-02-03,Nasdaq National Market,FIELDSTONE INVESTMENT CORP,43328933.0,17.50,priced,FICC,758256328.0
53,2005-02-03,Nasdaq National Market,ICAGEN INC,5000000.0,8.00,priced,ICGN,40000000.0
54,2005-02-03,Nasdaq National Market,DRYSHIPS INC.,13000000.0,18.00,priced,DRYS,234000000.0
57,2005-02-02,Nasdaq National Market,"MMRGLOBAL, INC.",6000000.0,7.00,priced,FVRL,42000000.0
59,2005-04-01,Nasdaq National Market,FASTCLICK INC,6500000.0,12.00,priced,FSTC,78000000.0
60,2005-03-31,Nasdaq National Market,ROME BANCORP INC,6382500.0,10.00,priced,ROMED,63825000.0
